,Model,R2,MAE,SRC,MSE,RMSE,MAPE
Output_0,Ridge_MinMaxScaler,0.5361052122612627,4.7953830322084805,0.747105227705393,49.117204002253125,7.008366714310341,inf
Output_1,SVR_MinMaxScaler,0.16366275655060503,8.297298045284572,0.47589653049792163,151.6703783826373,12.315452828972116,inf
Output_2,SVR_MinMaxScaler,0.16508514143727848,8.693488409422645,0.49574967994852703,170.87911516319335,13.072073866192516,inf
Output_3,PassiveAggressiveRegressor_MinMaxScaler,0.18874497424459524,8.698404905799002,0.5338287975196945,182.15359924524287,13.496429129412078,inf
Output_4,SVR_MinMaxScaler,0.12811774081226446,8.159090106097572,0.5575160222662944,176.86068329223693,13.29889782246021,inf
Output_5,SVR_MinMaxScaler,0.03879568812204881,9.130145659974724,0.4129926476226869,196.81510905498325,14.029080834287871,inf
Output_6,SVR_MinMaxScaler,0.04417211509469321,9.507713913780188,0.339425873412439,199.76339703548092,14.133767970201044,inf
Output_7,SVR_QuantileTransformer,0.08124386766101255,10.345989993074262,0.3266630102983424,215.26701874517528,14.671980736941256,inf
Output_8,SVR_QuantileTransformer,0.14842809037586446,9.535335427576259,0.3635876791235951,189.0202440634808,13.748463334623285,inf
Output_9,RandomForestRegressor_StandardScaler,0.06647661296198082,11.65762588961541,0.35159508983849097,278.7489008706925,16.695774940705583,inf
Output_10,SVR_QuantileTransformer,0.025594461152338543,14.370238567100092,0.32839075739720575,438.18151450426694,20.93278563651448,216.31491919991151
Output_11,SVR_MinMaxScaler,-0.045774378411506556,15.113547917193559,0.18692699015407402,464.13128412716225,21.543706369312645,23.93794089750876
Output_12,PassiveAggressiveRegressor_MinMaxScaler,-0.026409869727155533,14.343983491052256,0.2433813236032415,491.2549718836136,22.164272419450487,22.793101289563744
Output_13,SGDRegressor_MinMaxScaler,-0.032572121784109065,14.234461202139585,0.2462857009308875,462.98778119054305,21.51715086136041,23.41849835078901
Output_14,SVR_MinMaxScaler,-0.059310347549427656,14.67761326311355,0.27578773071895013,549.1815940124735,23.434623829122444,22.737500704876382
Output_15,SGDRegressor_MinMaxScaler,0.09882068621448914,11.907411556894033,0.3140825873804371,327.7230144656128,18.103121677368595,22.84177049569381
Output_16,SVR_MinMaxScaler,0.0007992486144566824,10.369348241521246,0.30987247958810316,263.7559647047345,16.240565405943677,20.786426976515962
Output_17,SVR_RobustScaler,-0.05729913530843134,11.40031002861247,0.23473466437999485,340.56575046843227,18.454423601630918,21.474334355226315
Output_18,SGDRegressor_RobustScaler,-0.046679499946443714,13.30151707135671,0.3047198353693888,454.8047394941332,21.326151539697292,20.853543541618492
Output_19,SGDRegressor_QuantileTransformer,0.008921089227592383,18.459379649923218,0.2212159415960389,1344.259474265817,36.66414425928713,22.687398286384443
Output_20,MLPRegressor_MinMaxScaler,0.1472916614285067,15.43782758656154,0.45551630044331837,870.2498703550731,29.499997802628275,19.92668326402524
Output_21,RandomForestRegressor_RobustScaler,0.1275812927353316,12.410681884930918,0.4614645135454622,419.5596699959228,20.483155762624147,18.55049533050398
Output_22,ElasticNet_MinMaxScaler,0.17046413178733666,8.318242811847497,0.435019212436868,126.68757048802945,11.255557315745385,15.836547029096884
Output_23,Lasso_MinMaxScaler,0.26234262650641327,7.559493009625391,0.5069093094730135,92.38907909918738,9.6119237980327,17.67076991294905
